year,month,site,replicate,sieve_2mm_perc,sieve_1mm_perc,sieve_500um_perc,sieve_250um_perc,sieve_125um_perc,sieve_63um_perc,sieve_pan_perc
2025,may,A,1,1.5192832099727307,1.7530190884300738,8.687183482664588,62.05687573042461,20.84144916244643,5.064277366575769,0.15582391897156214
2025,may,A,2,0.42755344418052255,2.850356294536817,7.315914489311163,52.066508313539195,27.505938242280287,7.505938242280285,0.42755344418052255
2025,may,A,3,2.0670647680293985,0.9646302250803858,5.3284336242535595,43.68396876435462,34.818557648139645,9.830041341295361,0.41341295360587965
2025,may,B,1,3.902209685002351,2.444757874941232,13.822284908321581,58.909261871180064,63.18758815232722,2.726845322049835,0.18805829807240246
2025,may,B,2,5.460385438972163,6.067094932191292,20.556745182012847,53.21199143468951,9.957173447537473,0.9279086366880801,0.0
2025,may,B,3,0.9537265983751325,1.660190745319675,9.431296361709643,54.99823383963264,25.185446838572943,5.581066760861886,0.28258565877781705
2025,june,A,1,0.9730538922155689,0.9730538922155689,7.634730538922156,62.5,26.30988023952096,1.309880239520958,0.0
2025,june,A,2,3.188976377952756,1.4566929133858268,8.897637795275589,59.13385826771653,18.46456692913386,1.535433070866142,0.0
2025,june,A,3,4.967385850476668,3.2112393376818864,10.73758153537381,55.84545910687406,26.743602609131962,1.3045659809332664,0.0
2025,june,B,1,0.16963528413910095,2.4173027989821882,8.10008481764207,48.51569126378287,36.429177268871925,7.29431721798134,0.3816793893129771
2025,june,B,2,0.994789199431549,2.226432970156324,3.8844149692089056,45.23922311700616,37.707247749881574,8.289909995262908,0.8053055423969684
2025,june,B,3,0.0,0.46511627906976744,13.488372093023255,73.25581395348837,11.534883720930232,1.1162790697674418,0.0
2025,june,C,1,0.5005005005005005,1.2012012012012012,12.162162162162163,71.37137137137137,12.112112112112111,0.9509509509509508,0.0
2025,june,C,2,0.0,1.1428571428571428,12.333333333333332,72.61904761904762,13.80952380952381,1.0476190476190477,0.0
2025,june,C,3,0.0,0.0,3.8285476487723678,46.982937994173945,38.035788597586354,9.238451935081148,0.7074490220557637
2025,july,A,1,1.0756972111553786,1.2749003984063745,4.7410358565737045,44.7808764940239,37.64940239043824,8.884462151394422,0.4382470119521912
2025,july,A,2,0.0,0.0929368029739777,1.1152416356877324,52.32342007434945,40.613382899628256,5.297397769516729,0.0
2025,july,A,3,0.0,0.0,4.031510658016682,45.73679332715477,41.890639481000925,8.016682113067656,0.13901760889712697
2025,july,B,1,22.890078221490324,79.74475092630713,9.510086455331413,17.86743515850144,2.058460271716756,0.0,0.0
2025,july,B,2,1.9870839542970693,3.9244908097367115,9.38897168405365,61.59960258320915,19.771485345255837,3.9244908097367115,0.546448087431694
2025,july,B,3,0.0,1.5122873345935728,11.200378071833649,69.1398865784499,15.406427221172022,1.890359168241966,0.14177693761814744
2025,july,C,1,0.3412969283276451,1.2372013651877132,9.982935153583616,64.3344709897611,22.013651877133107,1.3651877133105803,0.0
2025,july,C,2,0.0,0.504355800091701,4.401650618982118,61.39385602934434,28.427326914259517,7.24438331040807,0.0
2025,july,C,3,0.25887573964497046,0.8136094674556213,7.544378698224853,62.05621301775148,26.775147928994087,1.6272189349112427,0.0
2025,september,A,1,0.09000900090009002,0.6300630063006302,6.840684068406841,34.06840684068408,44.23942394239424,10.756075607560756,0.5850585058505852
2025,september,A,2,0.7606490872210954,2.129817444219067,6.947261663286004,39.503042596348884,34.83772819472617,10.243407707910752,0.8113590263691683
2025,september,A,3,0.29069767441860467,1.1627906976744187,5.426356589147288,72.48062015503876,19.525193798449614,0.8236434108527133,0.0
2025,september,B,1,0.8053055423969684,2.0843202273803882,8.858360966366652,62.813832306963526,25.43818095689247,3.458076740881099,0.6158218853623876
2025,september,B,2,0.0,0.7305936073059361,10.82191780821918,66.7579908675799,20.730593607305938,2.0547945205479454,0.0
2025,september,B,3,0.0,0.8953553441522103,11.247901510912142,64.85730274202574,30.2182428651371,2.4622271964185782,0.0
2025,september,C,1,1.0806317539484622,1.4546965918536992,12.468827930174564,77.68079800498754,10.598503740648379,0.29093931837073983,0.0
2025,september,C,2,0.2035623409669211,0.35623409669211203,6.921119592875319,58.16793893129771,22.442748091603058,2.391857506361323,0.0
2025,september,C,3,0.0,0.7124352331606217,6.152849740932642,55.0518134715026,31.606217616580313,2.33160621761658,0.0
2025,october,A,1,0.27816411682892905,0.3245248029670839,4.1261010662957815,39.313861845155316,39.91655076495132,11.914696337505793,1.1126564673157162
2025,october ,A,2,0.3841229193341869,0.6402048655569783,6.530089628681178,45.64660691421255,34.37900128040973,7.426376440460947,0.7042253521126761
2025,october,A,3,0.0,1.1022044088176353,7.665330661322645,47.945891783567134,30.961923847695388,11.87374749498998,0.6012024048096193
2025,october,B,1,0.0,0.21220159151193632,5.145888594164456,84.45623342175065,10.079575596816975,0.583554376657825,0.0
2025,october,B,2,0.0,1.6648168701442843,11.65371809100999,75.24972253052165,9.711431742508324,0.776914539400666,0.22197558268590456
2025,october,B,3,0.0,0.24509803921568632,5.53921568627451,83.33333333333334,10.3921568627451,0.5882352941176471,0.0
2025,october,C,1,0.0,0.21893814997263275,8.921729611384784,56.21237000547345,31.85550082101806,2.736726874657909,0.0
2025,october,C,2,0.0,0.468384074941452,9.882903981264636,58.36065573770492,18.12646370023419,2.201405152224824,0.0
2025,october,C,3,0.3654636820465966,1.8730013704888075,11.37505710370032,54.95660118775696,29.282777523983555,1.918684330744632,0.0
2025,december,B,1,0.1948684637869438,1.201688860019487,1.201688860019487,81.74732055862293,10.945112049366678,0.45469308216953563,0.0
