site,replicate,sieve_2um_perc,sieve_1um_perc,sieve_500um_perc,sieve_250um_perc,sieve_125um_perc,sieve_63um_perc,sieve_pan_perc
A,1,1.5192832099727307,1.7530190884300738,8.687183482664588,62.05687573042461,20.84144916244643,5.064277366575769,0.15582391897156214
A,2,0.42755344418052255,2.850356294536817,7.315914489311163,52.066508313539195,27.505938242280287,7.505938242280285,0.42755344418052255
A,3,2.0670647680293985,0.9646302250803858,5.3284336242535595,43.68396876435462,34.818557648139645,9.830041341295361,0.41341295360587965
B,1,3.902209685002351,2.444757874941232,13.822284908321581,58.909261871180064,63.18758815232722,2.726845322049835,0.18805829807240246
B,2,5.460385438972163,6.067094932191292,20.556745182012847,53.21199143468951,9.957173447537473,0.9279086366880801,0.0
B,3,0.9537265983751325,1.660190745319675,9.431296361709643,54.99823383963264,25.185446838572943,5.581066760861886,0.28258565877781705
A  ,1,0.9730538922155689,0.9730538922155689,7.634730538922156,62.5,26.30988023952096,1.309880239520958,0.0
A,2,3.188976377952756,1.4566929133858268,8.897637795275589,59.13385826771653,18.46456692913386,1.535433070866142,0.0
A,3,4.967385850476668,3.2112393376818864,10.73758153537381,55.84545910687406,26.743602609131962,1.3045659809332664,0.0
B,1,0.16963528413910095,2.4173027989821882,8.10008481764207,48.51569126378287,36.429177268871925,7.29431721798134,0.3816793893129771
B,2,0.994789199431549,2.226432970156324,3.8844149692089056,45.23922311700616,37.707247749881574,8.289909995262908,0.8053055423969684
B,3,0.0,0.46511627906976744,13.488372093023255,73.25581395348837,11.534883720930232,1.1162790697674418,0.0
C,1,0.5005005005005005,1.2012012012012012,12.162162162162163,71.37137137137137,12.112112112112111,0.9509509509509508,0.0
C,2,0.0,1.1428571428571428,12.333333333333332,72.61904761904762,13.80952380952381,1.0476190476190477,0.0
C,3,0.0,0.0,3.8285476487723678,46.982937994173945,38.035788597586354,9.238451935081148,0.7074490220557637
A,1,1.0756972111553786,1.2749003984063745,4.7410358565737045,44.7808764940239,37.64940239043824,8.884462151394422,0.4382470119521912
A,2,0.0,0.0929368029739777,1.1152416356877324,52.32342007434945,40.613382899628256,5.297397769516729,0.0
A,3,0.0,0.0,4.031510658016682,45.73679332715477,41.890639481000925,8.016682113067656,0.13901760889712697
B,1,22.890078221490324,79.74475092630713,9.510086455331413,17.86743515850144,2.058460271716756,0.0,0.0
B,2,1.9870839542970693,3.9244908097367115,9.38897168405365,61.59960258320915,19.771485345255837,3.9244908097367115,0.546448087431694
B,3,0.0,1.5122873345935728,11.200378071833649,69.1398865784499,15.406427221172022,1.890359168241966,0.14177693761814744
C,1,0.3412969283276451,1.2372013651877132,9.982935153583616,64.3344709897611,22.013651877133107,1.3651877133105803,0.0
C,2,0.0,0.504355800091701,4.401650618982118,61.39385602934434,28.427326914259517,7.24438331040807,0.0
C,3,0.25887573964497046,0.8136094674556213,7.544378698224853,62.05621301775148,26.775147928994087,1.6272189349112427,0.0
