site,replicate,mean_arith_mm,sorting_arith_mm,skewness_arith_mm,kurtosis_arith_mm,mean_geom_mm,sorting_geom_mm,skewness_geom_mm,kurtosis_geom_mm,mean_log_phi,sorting_log_phi,skewness_log_phi,kurtosis_log_phi,mean_fw_phi,mean_fw_mm,sorting_fw_phi,skewness_fw_phi,kurtosis_fw_phi,fw_description
A,1,0.27556987154534845,0.2573217672615375,4.945103116902442,31.817883031380685,0.22590904922875196,0.5776857624460101,0.5111498991628971,5.819642317751758,2.1461860330277087,0.8334243846730186,-0.5111498991628971,5.819642317751758,1.7203670184784283,0.3034715087865156,0.7849528842895273,0.11552118089300702,1.3877852567142632,Medium sand
A,2,0.24775205811138015,0.2039924641984584,4.237159061529403,29.368478270126516,0.20307755105717065,0.6052834524969081,0.20526486385495507,4.251378908895202,2.2998973272794676,0.8732394352494398,-0.20526486385495601,4.251378908895201,1.8514589610411438,0.2771119899178145,0.8862279573724281,0.12719252134818726,1.152827225125214,Medium sand
A,3,0.24373746452223274,0.2889897381030335,4.942767542409647,29.562685490399158,0.1850414553895858,0.6558267376095115,0.8097325188627669,5.456422559512137,2.4340795766590264,0.9461579820316297,-0.8097325188627669,5.456422559512136,1.9774475601759756,0.2539387453615818,0.905705642504298,0.05796617231224502,1.0638435194851228,Medium sand
B,1,0.2752681347150259,0.32344732935275977,4.246916131561539,22.201486422506747,0.20776689357224787,0.640720681088613,1.317613309441436,5.640533910418659,2.2669623072682983,0.924364549201541,-1.3176133094414368,5.640533910418663,1.873438525317017,0.27292216569949046,0.8407739891072394,-0.15169565804346222,0.9802210821068805,Medium sand
B,2,0.4353480519480519,0.43623975447767616,2.671229541030919,9.621954819406346,0.32703001281674166,0.6821479660275341,0.931396875718074,4.056186865571588,1.6125050513507295,0.9841314877404166,-0.9313968757180736,4.05618686557159,1.134670290260079,0.4554389897351868,0.9788801802137361,-0.2815588741438009,1.293645423400168,Medium sand
B,3,0.26038062657544114,0.2265765577154822,5.007546153870717,35.89716902990825,0.2147305055359102,0.584495497369606,0.3166146376943454,4.937936881739083,2.2194009336902503,0.8432487554770591,-0.31661463769434495,4.937936881739077,1.7829252980777515,0.2905935732586314,0.8293039877060515,0.11854786424538304,1.1621163353208224,Medium sand
A  ,1,0.2581006006006006,0.21138173259890777,5.921901275707031,46.668415652942166,0.22303797012794863,0.4862844108510298,0.8645789807354045,6.6394980549497395,2.1646387584987523,0.701560107996392,-0.8645789807354056,6.639498054949741,1.7299074454221006,0.3014712968752304,0.7084544569715037,0.08956028687786947,1.1776376624165779,Medium sand
A,2,0.3180042480883602,0.34538199946645404,4.062997529922426,19.626054816870308,0.24973868487099007,0.593565434594968,1.3131852957004557,6.690785689877438,2.0015087808348873,0.8563339089332628,-1.3131852957004562,6.690785689877441,1.6188033959932124,0.3256054164141375,0.7449376974783894,0.026351646635346164,1.4854858189662639,Medium sand
A,3,0.3492010736944851,0.408329520300304,3.269093337422489,13.139134952613926,0.2546345675574342,0.6840157278210278,1.2710972731597792,5.106575889712542,1.9734998113178215,0.986826098417452,-1.2710972731597776,5.1065758897125395,1.5952458133862024,0.33096583122908285,0.992014581267737,-0.1525994966064722,1.6129985640764986,Medium sand
B,1,0.23193349753694578,0.1758431310664936,3.749973853352167,25.838511443348715,0.19290656146657104,0.5849665075770751,0.25405477399774856,3.8588045515187424,2.3740258792645195,0.8439282795675827,-0.2540547739977494,3.858804551518741,1.9072661331683454,0.26659726162001235,0.8670027748072018,0.05260916227693497,1.0410212494627138,Medium sand
